"country";"iucn_cat";"count";"area_ha"
"LKA";"Ia";16;22137.7144897739
"LKA";"II";11;289447.902510472
"LKA";"IV";28;262409.123713126
"LKA";"Not Applicable";5;102842.983485627
"LKA";"Not Reported";348;1127736.89488287
"LSO";"IV";1;6951.42715092305
"LSO";"Not Reported";1;632400.268100061
"LTU";"Ia";6;37080.0007890381
"LTU";"II";4;129652.749959606
"LTU";"IV";289;148632.917811645
"LTU";"Not Applicable";478;1100358.5586695
"LTU";"V";30;418090.614744744
"LTU";"VI";28;220717.699316794
"LUX";"Ib";40;6104.18837840513
"LUX";"II";2;46929.3288909957
"LUX";"IV";62;72735.4698155974
"LUX";"Not Applicable";60;55273.8698781695
"LVA";"Ib";4;25072.7406000231
"LVA";"II";40;265578.16225713
"LVA";"III";355;5280.8607618029
"LVA";"IV";308;700627.897033994
"LVA";"Not Applicable";322;783251.623929863
"LVA";"V";9;165422.138232947
"MAF";"IV";14;529.612432491052
"MAR";"Not Applicable";1;1012.02467545731
"MAR";"Not Reported";8;503922.418813808
"MDG";"Ia";4;208769.222417445
"MDG";"II";15;637975.755165408
"MDG";"IV";19;326509.806193124
"MDG";"Not Applicable";5;711250.507320541
"MDG";"Not Reported";40;3314438.20841431
"MDG";"VI";2;227987.796780082
"MEX";"Ia";14;615.303209508246
"MEX";"II";32;667590.164896118
"MEX";"III";6;16424.0170045935
"MEX";"Not Applicable";16;3087093.52756359
"MEX";"Not Reported";678;8641876.25096331
"MEX";"VI";38;5567889.85304406
"MKD";"Ia";1;23.2323880733994
"MKD";"II";3;115034.348290182
"MKD";"III";38;78331.1288081105
"MKD";"IV";9;3040.47497525513
"MKD";"Not Applicable";3;103584.77329547
"MKD";"Not Reported";1;7774.4204897274
"MLI";"II";5;589408.186642638
"MLI";"IV";16;5183903.04014297
"MLI";"Not Applicable";2;1168350.44430362
"MLI";"VI";10;1207407.73063612
"MLT";"Ia";9;139.654984219407
"MLT";"Ib";75;7839.32942317338
"MLT";"II";7;601.941918809025
"MLT";"III";52;1031.63077038505
"MLT";"IV";19;2025.77913784866
"MLT";"Not Applicable";35;5841.15348232393
"MLT";"Not Reported";34;1929.29507291121
"MLT";"V";1;276.368658201259
"MMR";"II";5;1452998.49882432
"MMR";"IV";26;3147246.11956726
"MMR";"Not Applicable";6;661008.54970434
"MMR";"Not Reported";11;1637531.19802965
"MMR";"VI";2;166504.592971092
"MNE";"II";1;123349.071263982
"MNE";"Not Applicable";1;36000.0439379034
"MNG";"Ia";3;6290798.06375613
"MNG";"Ib";9;4185392.42353335
"MNG";"II";16;8375393.98041222
"MNG";"III";22;2029441.27985896
"MNG";"Not Applicable";9;6610953.80214108
"MNG,RUS";"Not Applicable";1;1255030.50463735
"MOZ";"II";4;2411287.33710876
"MOZ";"IV";6;2701926.62360963
"MOZ";"Not Reported";28;6167791.43017587
"MOZ";"V";2;25939.2673038351
"MOZ";"VI";2;254201.484920187
"MTQ";"Ia";1;2301.3402751386
