"country","iucn_cat","count","area_ha"
"FRA","Not Applicable",1774,16141491.6391374
"FRA","Not Reported",7,661.584279890521
"FRA","V",53,9329526.41865585
"FRA,ESP","Not Applicable",1,25040.581595817
"FRA, NCL","Not Applicable",1,1567210.66460344
"FSM","Not Reported",1,834.043669764936
"GAB","IV",3,463540.79103786
"GAB","Not Applicable",4,1214010.37448997
"GAB","Not Reported",19,4000765.17501888
"GBR","IV",8864,2793414.80057882
"GBR","Not Applicable",1050,7488174.17712933
"GBR","Not Reported",179,273582.791215672
"GBR","V",157,6739553.62898764
"GBR,SHN","Not Applicable",1,391274.762299118
"GEO","Ia",19,180914.0815806
"GEO","II",10,274341.003233651
"GEO","III",10,795.743786785932
"GEO","IV",18,64678.0806397599
"GEO","Not Applicable",2,31863.2607980721
"GEO","Not Reported",1,2198.04225878525
"GEO","V",2,34184.9838244717
"GHA","Ia",1,33619.1522085661
"GHA","II",6,1014618.98287382
"GHA","IV",3,23795.2325094749
"GHA","Not Applicable",3,79162.3723519937
"GHA","Not Reported",239,2378392.95631875
"GHA","VI",5,102414.113176181
"GIN","Ia",1,14561.8934781321
"GIN","II",1,27816.8209957927
"GIN","Not Applicable",6,167414.537297606
"GIN","Not Reported",98,991312.546737933
"GLP","II",1,22068.4170075465
"GLP","IV",75,9679.87339168144
"GLP","Not Applicable",1,21000.8578177622
"GLP","V",1,224412.622940785
"GMB","II",2,5831.71053235592
"GMB","IV",1,93.6331644823425
"GMB","Not Applicable",3,31895.1152665401
"GMB","Not Reported",6,39572.8514679579
"GNB","II",2,204867.564486269
"GNB","Not Applicable",2,1081383.22373664
"GNB","Not Reported",20,2273510.82443217
"GNQ","Ib",1,51074.9802672924
"GNQ","II",3,295473.923626666
"GNQ","III",2,38983.2503255881
"GNQ","IV",3,67823.9582216776
"GNQ","Not Applicable",3,298113.395656929
"GNQ","Not Reported",4,132086.990713357
"GRC","Ia",8,22378.0429265759
"GRC","II",22,89302.3783903811
"GRC","III",28,48375.0485364023
"GRC","IV",619,1093667.06493567
"GRC","Not Applicable",433,5811565.18371588
"GRC","Not Reported",41,481642.840461365
"GRC","V",3,139034.763501367
"GRC","VI",58,1604123.18775634
"GRL","Ib",7,1277107.93929258
"GRL","II",1,96922565.8076237
"GRL","III",3,58395.8672018148
"GRL","IV",1,6962.89840193713
"GRL","Not Applicable",12,98035758.7507971
"GTM","II",13,130448.945135296
"GTM","III",13,429660.533191666
"GTM","IV",31,31683.2244959955
"GTM","Not Applicable",8,3032677.16798447
"GTM","Not Reported",61,904978.752577884
"GTM","V",125,52574.0787973942
"GTM","VI",6,1891916.54049181
"GUF","Ib",1,110584.560684793
"GUF","II",1,2021841.49669152
"GUF","IV",23,343101.512722204
"GUF","Not Applicable",2,217542.559731032
"GUF","V",2,1581043.4723126
"GUM","Not Reported",1,408.298179102099
"GUM","VI",1,12103.4107992638
"GUY","II",1,61022.0592875476
"GUY","VI",4,1770833.79705752
"HKG","Not Applicable",1,688.82331133378
"HKG","Not Reported",9,28019.1601104306
"HKG","V",10,15463.1819571056
"HND","II",15,654884.948920615
"HND","IV",23,175041.864239904
"HND","Not Applicable",3,1337982.39690808
"HND","Not Reported",16,1665616.10969101
"HRV","Ib",5,2728.65649465316
"HRV","II",8,97984.7465207647
"HRV","III",29,368.785002663796
"HRV","IV",81,93125.227101668
"HRV","Not Applicable",4,122417.988053387
"HRV","Not Reported",129,4365.15119979008
"HRV","V",100,580965.80379354
"HRV","VI",2,160120.116279658
"HUN","II",5,165123.88355939
"HUN","IV",37,19115.231807437
"HUN","Not Applicable",549,2900651.72697091
"HUN","V",20,199903.491710912
"HUN,SVK","Not Applicable",1,59566.4818767191
"IDN","Ia",84,2028326.84541641
"IDN","Ib",7,1199914.00173628
"IDN","II",36,16065730.0187968
"IDN","III",1,1767.14377687643
"IDN","IV",40,4310046.59066651
"IDN","Not Applicable",11,10882199.2624258
"IDN","Not Reported",249,19438089.4941728
"IDN","V",47,2692873.10777127
"IDN","VI",70,11739594.460745
"IND","Ia",1,105360.061441642
"IND","Ib",2,102682.320467341
"IND","II",52,3047305.43698324
"IND","IV",252,10616381.7347424
"IND","Not Applicable",12,1829049.14634397
"IND","Not Reported",39,2343826.85717033
"IOT","II",4,103792.688670857
"IOT","Not Reported",2,63829184.2838231
"IOT","V",1,9406.20703214848
"IRL","II",5,34819.7996266797
"IRL","IV",225,78103.0976067677
"IRL","Not Applicable",620,1933773.84154742
"IRN","II",16,1550371.8299488
"IRN","III",2,3233.36138343728
"IRN","IV",33,3912970.2199225
"IRN","Not Applicable",27,3363988.4037202
"IRN","Not Reported",18,856333.73570577
"IRN","V",53,5171697.77698639
"IRQ","Not Applicable",1,137376.549983687
"IRQ","Not Reported",1,139640.193585345
"ISL","Ia",2,6556.2132124614
"ISL","Ib",2,94679.8312872731
"ISL","II",7,1579198.82630553
"ISL","III",48,35355.2981491665
"ISL","IV",19,73440.3429364962
"ISL","Not Applicable",4,106209.573236838
"ISL","V",30,898679.979109094
"ISL","VI",15,560231.707641443
"ISR","II",1,3154.41596591653
"ISR","IV",96,262528.285526594
"ISR","Not Applicable",1,66.0564310486512
"ISR","Not Reported",157,180336.812367379
"ITA","Ia",116,62639.6781055485
"ITA","II",24,1599450.01985163
"ITA","III",55,6008.7045350129
"ITA","IV",490,3808530.3749001
"ITA","Not Applicable",2607,8193064.88650814
"ITA","Not Reported",1,2611.72769405659
"ITA","V",185,468041.192692622
"JAM","IV",8,5358.08412214729
"JAM","Not Applicable",4,67415.0875909198
"JAM","Not Reported",9,95915.465488292
"JAM","V",1,197317.763840831
"JAM","VI",117,109915.104421184
"JEY","Not Reported",10,213.145537127955
"JEY","V",3,276.316923647686
"JEY","VI",1,1079.13415853101
"JOR","IV",5,54077.3764206235
"JOR","Not Applicable",3,102919.773366857
"JOR","Not Reported",17,292940.263472071
"JOR","V",1,72875.1107867361
"JPN","Ia",5,9252.43035156361
"JPN","Ib",18,440754.53747425
"JPN","II",22,1567797.52909351
"JPN","IV",2,56555.9243043815
"JPN","Not Applicable",14,266697.688867709
"JPN","Not Reported",7,12233.6329419705
"JPN","V",114,5732105.01095668
"KAZ","Ia",8,859833.336018123
"KAZ","II",3,612829.114322935
"KAZ","IV",19,3442870.38005768
"KAZ","Not Applicable",5,1184717.07602564
"KAZ","Not Reported",7,7889950.15141305
"KEN","II",32,3288820.59544588
"KEN","IV",1,17031.2549616218
"KEN","Not Applicable",6,440202.06302116
